CaseID,WEIGHT,PROVINCP,PCRUR,PCSIZEP,TYPDWELP,TENURYRP,RPINCTOT,RPMARP,RPAGEGRP,RPSEX,RPWEEKFT,RPWEEKPT,RPHIGHED,RPDISABL,SPINCTOT,SPAGEGRP,SPSEXP,SPWEEKFT,SPWEEKPT,SPHIGHED,SPDISABL,HHTYPEP,CH04TOIP,NMCH0517,NMYT1824,NMAD2564,SE65TOIP,HHSZTOTP,AGEYOUNP,NUMFTP,NUMPTP,HHINCTOT,TOTEXP
2.0,1292.0,46.0,1.0,1.0,5.0,3.0,17000.0,2.0,1.0,2.0,17.0,35.0,2.0,1.0,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,99.0,0.0,1.0,17000.0,36030.0
3.0,1941.0,48.0,2.0,3.0,6.0,1.0,51000.0,1.0,7.0,2.0,52.0,0.0,5.0,0.0,85000.0,7.0,1.0,52.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,19.0,2.0,1.0,150000.0,50279.0
4.0,56.0,60.0,1.0,2.0,1.0,3.0,3800.0,2.0,1.0,1.0,0.0,8.0,1.0,0.0,,,,,,,,6.0,0.0,0.0,1.0,0.0,1.0,2.0,99.0,0.0,1.0,19000.0,18880.0
5.0,97.0,12.0,1.0,1.0,3.0,1.0,45000.0,1.0,4.0,2.0,52.0,0.0,5.0,0.0,45000.0,4.0,1.0,52.0,0.0,5.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,9.0,2.0,0.0,90000.0,95068.0
6.0,1961.0,59.0,1.0,1.0,5.0,2.0,61000.0,2.0,2.0,1.0,52.0,0.0,7.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,61000.0,41850.0
7.0,1121.0,48.0,1.0,1.0,1.0,1.0,37000.0,3.0,7.0,2.0,52.0,0.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,37000.0,24857.0
8.0,350.0,46.0,1.0,2.0,1.0,2.0,46000.0,1.0,9.0,1.0,0.0,0.0,7.0,1.0,40000.0,7.0,2.0,40.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,1.0,86000.0,59953.0
9.0,1621.0,48.0,1.0,1.0,4.0,2.0,34000.0,1.0,3.0,1.0,12.0,0.0,7.0,0.0,7000.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,41000.0,69601.0
10.0,1302.0,59.0,1.0,1.0,1.0,1.0,15000.0,1.0,13.0,2.0,0.0,0.0,1.0,0.0,14000.0,13.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,29000.0,21313.0
11.0,1605.0,48.0,1.0,1.0,1.0,3.0,26000.0,1.0,5.0,1.0,52.0,0.0,3.0,0.0,23000.0,4.0,2.0,52.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,6.0,12.0,2.0,0.0,49000.0,36152.0
12.0,206.0,10.0,1.0,2.0,1.0,1.0,21000.0,3.0,11.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,21000.0,18887.0
13.0,755.0,24.0,1.0,1.0,5.0,3.0,37000.0,2.0,1.0,1.0,52.0,0.0,3.0,0.0,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,99.0,1.0,0.0,37000.0,34002.0
14.0,486.0,48.0,1.0,1.0,1.0,1.0,34000.0,1.0,8.0,2.0,0.0,0.0,2.0,1.0,99000.0,9.0,1.0,52.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,1.0,0.0,130000.0,68401.0
16.0,1412.0,59.0,1.0,1.0,5.0,1.0,24000.0,3.0,10.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,24000.0,23245.0
17.0,280.0,13.0,1.0,2.0,1.0,2.0,31000.0,1.0,8.0,2.0,52.0,0.0,5.0,0.0,1200.0,8.0,1.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,1.0,1.0,32000.0,39146.0
20.0,907.0,48.0,1.0,1.0,3.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,85000.0,4.0,1.0,52.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,5.0,1.0,1.0,96000.0,90139.0
26.0,190.0,10.0,2.0,3.0,1.0,1.0,16000.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,9300.0,10.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,25000.0,34469.0
28.0,416.0,12.0,2.0,3.0,3.0,2.0,7600.0,1.0,9.0,2.0,0.0,0.0,1.0,1.0,15000.0,8.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,0.0,23000.0,23501.0
30.0,2205.0,59.0,1.0,1.0,2.0,2.0,40000.0,1.0,7.0,2.0,0.0,52.0,4.0,0.0,60000.0,9.0,1.0,52.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,8.0,1.0,2.0,100000.0,91543.0
31.0,436.0,13.0,1.0,1.0,1.0,1.0,47000.0,1.0,6.0,2.0,52.0,0.0,7.0,0.0,43000.0,6.0,1.0,52.0,0.0,5.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,4.0,19.0,2.0,2.0,99000.0,104491.0
32.0,697.0,47.0,1.0,1.0,3.0,3.0,8500.0,3.0,4.0,1.0,14.0,0.0,5.0,0.0,,,,,,,,7.0,0.0,0.0,0.0,2.0,0.0,3.0,99.0,0.0,3.0,29000.0,19891.0
33.0,510.0,12.0,1.0,2.0,6.0,2.0,4800.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,59000.0,4.0,1.0,52.0,0.0,5.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,5.0,4.0,1.0,0.0,63000.0,38974.0
34.0,599.0,12.0,1.0,2.0,1.0,2.0,900.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,90000.0,8.0,1.0,52.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,5.0,14.0,1.0,1.0,100000.0,93397.0
35.0,328.0,10.0,1.0,1.0,1.0,3.0,60000.0,1.0,5.0,1.0,52.0,0.0,8.0,0.0,14000.0,4.0,2.0,0.0,16.0,8.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,74000.0,54894.0
36.0,1177.0,48.0,1.0,1.0,1.0,1.0,30000.0,3.0,11.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,30000.0,16641.0
38.0,605.0,12.0,1.0,2.0,1.0,2.0,13000.0,1.0,6.0,2.0,0.0,52.0,1.0,0.0,40000.0,7.0,1.0,52.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0,99.0,1.0,2.0,60000.0,50755.0
39.0,2298.0,59.0,1.0,1.0,1.0,2.0,33000.0,1.0,5.0,2.0,44.0,8.0,3.0,1.0,23000.0,6.0,1.0,10.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,9.0,1.0,1.0,56000.0,59425.0
42.0,3516.0,48.0,2.0,3.0,1.0,2.0,97000.0,1.0,5.0,2.0,0.0,52.0,5.0,0.0,95000.0,5.0,1.0,52.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,11.0,1.0,1.0,190000.0,120259.0
45.0,2546.0,24.0,1.0,1.0,5.0,3.0,31000.0,3.0,10.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,31000.0,24826.0
47.0,3043.0,35.0,1.0,1.0,1.0,2.0,89000.0,3.0,10.0,2.0,52.0,0.0,5.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,1.0,0.0,89000.0,65300.0
50.0,269.0,13.0,2.0,3.0,1.0,1.0,36000.0,1.0,9.0,1.0,18.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,0.0,1.0,36000.0,14446.0
51.0,1129.0,35.0,1.0,1.0,3.0,3.0,22000.0,2.0,8.0,2.0,0.0,52.0,5.0,0.0,,,,,,,,5.0,0.0,0.0,1.0,1.0,0.0,2.0,18.0,0.0,2.0,28000.0,27332.0
